token,valor_real
RUC_f27eb5e3e4c7,2042422772
RUC_5bd82489fd12,2006917349
RUC_76b94fe26a66,2094402346
RUC_81235750bad4,2088958700
RUC_1c6010a2c5aa,2047770405
RUC_854c42245027,2044349038
RUC_04143b454477,2074327800
RUC_37acdaf440a6,2037154486
RUC_4e58c40ac01f,2054712522
RUC_d3b3373a8bf3,2053937831
RUC_c5fd4cc3c445,2008935428
RUC_a87805fceaf6,2075370034
RUC_69542de1e580,2027355887
RUC_cfdbe516be5b,2068741039
RUC_627a25f93e04,2074819724
RUC_6889305af663,2009118790
RUC_bbc6d7adc11e,2001580114
RUC_a01501c604bc,1042862786
RUC_ed5383efe05b,2009716777
RUC_867aaef71ea4,2062201122
RUC_709a513d5ee3,2077048357
RUC_bc44160dde43,2057229878
RUC_24e62f31eee8,2024668089
RUC_7a2420a57ced,2087799939
RUC_bd6dd81ff490,2007774830
RUC_2b7cf318575f,2090276302
RUC_eb0a6f5dee61,2046916374
RUC_3aaecee7d509,2050799857
RUC_87cd6b262487,2088077505
RUC_44f02548cdc6,2039216584
RUC_b3d463e041fa,2078965242
RUC_fdb52a3cc627,2007950781
RUC_1dd820318c97,2024496152
RUC_4c0dca51e6b6,2004240244
RUC_dfa46c20f24d,2087028740
RUC_69e3bb7b83b4,2068789568
RUC_9c1197b6a270,2089508889
RUC_4d6a430bb792,2082318567
RUC_57ded5d71988,2044512050
RUC_19baa6d8f857,2061726816
RUC_48b394b70b8c,2051947639
RUC_a9fdf3e11536,2035557284
RUC_f782844d3ad9,2040443627
RUC_0e86b436cfa0,2076142431
RUC_8415f434de0b,2042840517
RUC_7fb2305de02d,2033874362
RUC_73bb1a487f1a,2033800985
RUC_e2351a865f23,2004403801
RUC_e3fd02c1e877,2018414664
RUC_905704122c35,2050504401
RUC_1c0c6d92573b,2021660305
RUC_fd5c1b3b1557,2032335674
RUC_1cf818ed1a94,2052608690
RUC_1b3c46d0e466,2063121146
RUC_223ac1b31a8c,2090808430
RUC_64b8f767f4d3,2046272291
RUC_18f0328c80dc,2078802807
RUC_cf2a646324e6,2027755534
RUC_a0eff74d3ab5,2081744801
RUC_205a6139d32c,2012439383
RUC_9ca954290f55,2016587155
RUC_c7f34d600f42,2034879712
RUC_dbeee6dc086b,2082221937
RUC_64cf997ae5cc,2099609997
RUC_e277a4a8df2f,2061273939
RUC_e14f9f762d84,2069541043
RUC_b1fc467d8412,2081733189
RUC_00357ffca88e,2018849431
RUC_fed34b9bcc43,2024619182
RUC_72ee8f40adc8,2004984092
RUC_3754f915d81d,2029816520
RUC_317aa1c1375e,2045418905
RUC_004a5ee791fc,2040860442
RUC_4b44896fda72,2047611797
RUC_95edad02917a,2091452099
RUC_246517ba9c9b,2098293784
RUC_67dca5e887c2,2047431289
RUC_9d2b9a904a43,2030739572
RUC_f86e17858aca,2046868113
RUC_e41aa210fdc3,2043153301
RUC_0b1ff7466128,2032243442
RUC_46bec5474aa0,2048306935
RUC_288bdd994be3,2009768742
RUC_7d345cb8caa6,2042005584
RUC_a0e432e00271,2064266045
RUC_c1deb52e8453,2048828836
RUC_6f6cde773d1a,2097314646
RUC_af892d6dc691,2041230831
RUC_676094161508,2014579954
RUC_9e01e1084b4b,2070148979
RUC_a68581987823,2053125283
RUC_23552e179842,2064993907
RUC_371c77cbb207,2023119208
RUC_369b23b02b7a,2039714658
RUC_b2bb414ee455,2017592496
RUC_f66257b757ce,2056936489
RUC_55618e4ed0a7,2001919358
RUC_a32c1658fcb2,2097061252
RUC_e64d4adc9511,2005539193
RUC_61b3c8464552,2061611588
RUC_47f1b1a5334b,2091736052
RUC_1b933e94948b,2040276207
RUC_a73d944a81db,2035220905
RUC_cbce6b765dfa,2068926847
RUC_47cb45f4f883,2094577730
RUC_2aaccebd1bf7,2017938134
RUC_1b187de75c97,2043037576
RUC_1f6f41a5bc2a,2061195913
RUC_34f8bb27a7f9,2022681851
RUC_f9de71b1429c,2096030030
RUC_96d258f3a327,2025967685
RUC_de41d1e71b54,2060826481
RUC_d592f0c70f44,2079585159
RUC_c3e4ab511f3c,2042736285
