NRO_DOC_FISCAL,RUC,RAZON_SOCIAL,COD_CLIENTE,COD_CUENTA,FUENTE,SISTEMA,FECHA_EMISION,FECHA_VTO,MONEDA,CHARGE_NET_AMOUNT,CHARGE_IGV_INVOICE,CHARGE_TOTAL_AMOUNT,origen_fecha_vto_mal_formada,total_pagado,cantidad_pagos,requirio_correccion_formato,total_nota_credito,monto_neto_a_pagar,diferencia,esta_vencida,estado_conciliacion,diferencia_es_trivial_redondeo
S8AA-0008076684,2074525786,CLIENT_00733,626387331,741541857,FACTURACION CICLICA,AMDOCS,2026-06-27,2026-07-13,PEN,85.72,15.43,101.15,False,101.13999999999999,2,False,0.0,101.15,-0.010000000000019327,True,PAGO_PARCIAL,True
S8AA-0008006986,2089275916,CLIENT_00133,404276421,621536347,FACTURACION CICLICA,AMDOCS,2026-06-27,2026-07-13,PEN,50.3,9.06,59.36,False,59.36,1,False,8.0,51.36,8.0,True,SOBREPAGO,False
S7AA-0068829129,2002500138,CLIENT_00445,92763575,582891443,FACTURACION CICLICA,AMDOCS,2026-06-23,2026-07-09,PEN,25.21,4.54,29.75,False,29.74,2,False,4.42,25.33,4.41,True,SOBREPAGO,False
S8AA-0008075975,2001156117,CLIENT_00442,622439031,682444357,FACTURACION CICLICA,AMDOCS,2026-06-27,2026-07-13,PEN,44.2,7.95,52.15,False,44.0,2,False,9.79,42.36,1.6400000000000006,True,SOBREPAGO,False
S7AA-0068452314,2034212173,CLIENT_00843,687675321,217543147,FACTURACION CICLICA,AMDOCS,2026-06-23,2026-07-09,PEN,63.78,11.47,75.25,False,75.25,1,False,2.4,72.85,2.4000000000000057,True,SOBREPAGO,False
S8AA-0008077519,2001809758,CLIENT_00443,621170631,96754167,FACTURACION CICLICA,AMDOCS,2026-06-27,2026-07-13,PEN,44.13,7.95,52.08,False,52.08,1,False,1.62,50.46,1.6199999999999974,True,SOBREPAGO,False
S8AA-0008076683,2074525786,CLIENT_00733,626387331,649870857,FACTURACION CICLICA,AMDOCS,2026-06-27,2026-07-13,PEN,67.93,12.22,80.15,False,80.14,2,False,0.0,80.15,-0.010000000000005116,True,PAGO_PARCIAL,True
S8AA-0008080799,2048306935,CLIENT_00452,726703631,730638167,FACTURACION CICLICA,AMDOCS,2026-06-27,2026-07-13,PEN,28.64,5.17,33.81,False,33.81,1,False,9.79,24.020000000000003,9.79,True,SOBREPAGO,False
S8AA-0007918086,2012438665,CLIENT_00737,844055821,106348157,FACTURACION CICLICA,AMDOCS,2026-06-27,2026-07-13,PEN,109.63,19.73,129.36,False,129.36,1,False,7.93,121.43,7.930000000000007,True,SOBREPAGO,False
S8AA-0008004484,2000414951,CLIENT_00221,305626821,438010057,FACTURACION CICLICA,AMDOCS,2026-06-27,2026-07-13,PEN,20.53,3.69,24.22,False,24.22,2,False,5.6,18.619999999999997,5.600000000000001,True,SOBREPAGO,False
S7AA-0068142859,2088717616,CLIENT_00246,155347221,603152937,FACTURACION CICLICA,AMDOCS,2026-06-23,2026-07-09,PEN,56.77,10.22,66.99,False,66.99,1,False,2.23,64.75999999999999,2.230000000000004,True,SOBREPAGO,False
S7AA-0068040833,2064524697,CLIENT_00755,938349331,397562857,FACTURACION CICLICA,AMDOCS,2026-06-23,2026-07-09,PEN,67.93,12.22,80.15,False,80.15,2,False,2.56,77.59,2.5600000000000023,True,SOBREPAGO,False
S9AA-0083067431,2051682890,CLIENT_00374,66011906,394819506,FACTURACION CICLICA,AMDOCS,2026-07-01,2026-07-17,PEN,12.4,2.23,14.63,False,14.62,2,False,0.0,14.63,-0.010000000000001563,True,PAGO_PARCIAL,True
S9AA-0082800489,2031946637,CLIENT_00983,430841331,89539657,FACTURACION CICLICA,AMDOCS,2026-07-01,2026-07-17,PEN,20.47,3.68,24.15,False,24.119999999999997,2,False,0.0,24.15,-0.030000000000001137,True,PAGO_PARCIAL,True
S9AA-0083159839,2091691985,CLIENT_00508,77873195,129741406,FACTURACION CICLICA,AMDOCS,2026-07-01,2026-07-17,PEN,53.92,9.71,63.63,False,63.63,1,False,12.32,51.31,12.32,True,SOBREPAGO,False
S9AA-0082486112,2006121666,CLIENT_00662,154096131,508901557,FACTURACION CICLICA,AMDOCS,2026-06-01,2026-06-17,PEN,53.33,9.6,62.93,False,62.93,1,False,12.59,50.34,12.589999999999996,True,SOBREPAGO,False
S9AA-0082919124,2032219870,CLIENT_00462,846487901,940692657,FACTURACION CICLICA,AMDOCS,2026-07-01,2026-07-17,PEN,100.86,18.14,119.0,False,119.0,1,False,4.07,114.93,4.069999999999993,True,SOBREPAGO,False
S9AA-0083111985,2037220961,CLIENT_00351,176473121,523999537,FACTURACION CICLICA,AMDOCS,2026-07-01,2026-07-17,PEN,42.06,7.57,49.63,False,49.62,2,False,0.0,49.63,-0.010000000000005116,True,PAGO_PARCIAL,True
S9AA-0083236130,2007644775,CLIENT_00890,68757095,857480406,FACTURACION CICLICA,AMDOCS,2026-07-01,2026-07-17,PEN,116.21,20.92,137.13,False,109.69,1,False,3.54,133.59,-23.900000000000006,True,PAGO_PARCIAL,False
S8AA-0007981343,2044662368,CLIENT_00741,866009421,231292067,FACTURACION CICLICA,AMDOCS,2026-06-27,2026-07-13,PEN,53.33,9.6,62.93,False,62.93,1,False,2.1,60.83,2.1000000000000014,True,SOBREPAGO,False
S9AA-0083216228,2058413599,CLIENT_00258,383387231,747803657,FACTURACION CICLICA,AMDOCS,2026-07-01,2026-07-17,PEN,129.91,23.39,153.3,False,153.3,1,False,4.07,149.23000000000002,4.069999999999993,True,SOBREPAGO,False
S9AA-0082696512,2006459799,CLIENT_00837,22696485,744180937,FACTURACION CICLICA,AMDOCS,2026-07-01,2026-07-17,PEN,57.19,10.29,67.48,False,47.22,1,False,0.0,67.48,-20.260000000000005,True,PAGO_PARCIAL,False
S9AA-0082340037,2037757541,CLIENT_00199,43669685,809287957,FACTURACION CICLICA,AMDOCS,2026-06-01,2026-06-17,PEN,85.65,15.43,101.08,False,98.84,1,False,0.0,101.08,-2.239999999999995,True,PAGO_PARCIAL,False
S9AA-0083249406,2074327800,CLIENT_00822,78255606,189922057,FACTURACION CICLICA,AMDOCS,2026-07-01,2026-07-17,PEN,103.52,18.63,122.15,False,122.15,1,False,4.51,117.64,4.510000000000005,True,SOBREPAGO,False
S9AA-0082588997,2075533541,CLIENT_00465,900914431,762299857,FACTURACION CICLICA,AMDOCS,2026-07-01,2026-07-17,PEN,16.08,2.89,18.97,False,9.49,1,False,0.0,18.97,-9.479999999999999,True,PAGO_PARCIAL,False
S9AA-0082704558,2013641602,CLIENT_00728,324491021,351964337,FACTURACION CICLICA,AMDOCS,2026-07-01,2026-07-17,PEN,116.14,20.92,137.06,False,137.06,1,False,4.0,133.06,4.0,True,SOBREPAGO,False
S9AA-0082558170,2075773401,CLIENT_00638,60435406,584654506,FACTURACION CICLICA,AMDOCS,2026-07-01,2026-07-17,PEN,130.15,23.43,153.58,False,153.58,1,False,143.68,9.900000000000006,143.68,True,SOBREPAGO,False
S9AA-0082617503,2074628342,CLIENT_00213,31059006,519090506,FACTURACION CICLICA,AMDOCS,2026-07-01,2026-07-17,PEN,89.94,16.18,106.12,False,106.1,2,False,0.0,106.12,-0.020000000000010232,True,PAGO_PARCIAL,True
S9AA-0083131607,2091907227,CLIENT_00779,37698395,462643757,FACTURACION CICLICA,AMDOCS,2026-07-01,2026-07-17,PEN,109.56,19.73,129.29,False,129.29,1,False,44.7,84.58999999999999,44.7,True,SOBREPAGO,False
S8AA-0007862059,2050562330,CLIENT_00282,398260721,394614747,FACTURACION CICLICA,AMDOCS,2026-06-27,2026-07-13,PEN,52.14,9.39,61.53,False,61.53,1,False,2.05,59.480000000000004,2.049999999999997,True,SOBREPAGO,False
S9AA-0083166797,2023093512,CLIENT_00451,671355911,675360267,FACTURACION CICLICA,AMDOCS,2026-07-01,2026-07-17,PEN,59.26,10.67,69.93,False,69.93,1,False,6.76,63.17000000000001,6.759999999999998,True,SOBREPAGO,False
