NRO_DOC_FISCAL,RUC,RAZON_SOCIAL,COD_CLIENTE,COD_CUENTA,FUENTE,SISTEMA,FECHA_EMISION,FECHA_VTO,MONEDA,CHARGE_NET_AMOUNT,CHARGE_IGV_INVOICE,CHARGE_TOTAL_AMOUNT,origen_fecha_vto_mal_formada,total_pagado,cantidad_pagos,requirio_correccion_formato,total_nota_credito,monto_neto_a_pagar,diferencia,esta_vencida,estado_conciliacion,diferencia_es_trivial_redondeo
S7AA-0068184699,2084347031,CLIENT_00887,65625575,596121473,FACTURACION CICLICA,AMDOCS,2026-06-23,2026-07-09,PEN,118.52,21.34,139.86,False,139.86,1,False,0.0,139.86,0.0,True,CONCILIADA_EXACTA,True
S7AA-0068521431,2070148979,CLIENT_00202,499743311,678194227,FACTURACION CICLICA,AMDOCS,2026-06-23,2026-07-09,PEN,31.38,5.65,37.03,False,37.03,1,False,0.0,37.03,0.0,True,CONCILIADA_EXACTA,True
S7AA-0068672092,2083087437,CLIENT_00371,118091211,812820337,FACTURACION CICLICA,AMDOCS,2026-06-23,2026-07-09,PEN,20.71,3.72,24.43,False,24.43,1,False,0.0,24.43,0.0,True,CONCILIADA_EXACTA,True
S7AA-0068562336,2030405929,CLIENT_00212,894308431,179975957,FACTURACION CICLICA,AMDOCS,2026-06-23,2026-07-09,PEN,53.33,9.6,62.93,False,62.93,1,False,0.0,62.93,0.0,True,CONCILIADA_EXACTA,True
S7AA-0068838267,2096447129,CLIENT_00321,13461575,371977173,FACTURACION CICLICA,AMDOCS,2026-06-23,2026-07-09,PEN,33.75,6.08,39.83,False,39.83,1,False,0.0,39.83,0.0,True,CONCILIADA_EXACTA,True
S7AA-0068446347,2023967163,CLIENT_00238,586659131,417168557,FACTURACION CICLICA,AMDOCS,2026-06-23,2026-07-09,PEN,112.65,20.28,132.93,False,132.93,1,False,0.0,132.93,0.0,True,CONCILIADA_EXACTA,True
S8AA-0008099744,2084347031,CLIENT_00887,435846421,136952347,FACTURACION CICLICA,AMDOCS,2026-06-27,2026-07-13,PEN,112.65,20.28,132.93,False,132.93,1,False,0.0,132.93,0.0,True,CONCILIADA_EXACTA,True
S7AA-0068792072,2019876876,CLIENT_00461,428478431,112896957,FACTURACION CICLICA,AMDOCS,2026-06-23,2026-07-09,PEN,56.06,10.09,66.15,False,66.15,1,False,0.0,66.15,0.0,True,CONCILIADA_EXACTA,True
S8AA-0007928060,2070952060,CLIENT_00669,159389821,305959657,FACTURACION CICLICA,AMDOCS,2026-06-27,2026-07-13,PEN,17.74,3.19,20.93,False,20.93,1,False,0.0,20.93,0.0,True,CONCILIADA_EXACTA,True
S7AA-0068364423,2016442878,CLIENT_00427,676676521,143879447,FACTURACION CICLICA,AMDOCS,2026-06-23,2026-07-09,PEN,112.53,20.26,132.79,False,132.79,1,False,0.0,132.79,0.0,True,CONCILIADA_EXACTA,True
S8AA-0007865642,2077048357,CLIENT_00123,494871031,192283257,FACTURACION CICLICA,AMDOCS,2026-06-27,2026-07-13,PEN,100.79,18.14,118.93,False,118.93,1,False,0.0,118.93,0.0,True,CONCILIADA_EXACTA,True
S7AA-0067988183,2030170496,CLIENT_00469,339091911,641226957,FACTURACION CICLICA,AMDOCS,2026-06-23,2026-07-09,PEN,50.13,9.02,59.15,False,59.15,1,False,0.0,59.15,0.0,True,CONCILIADA_EXACTA,True
S8AA-0007961873,2004792943,CLIENT_00818,261453231,813596557,FACTURACION CICLICA,AMDOCS,2026-06-27,2026-07-13,PEN,106.72,19.21,125.93,False,125.93,1,False,0.0,125.93,0.0,True,CONCILIADA_EXACTA,True
S8AA-0007948791,2058153118,CLIENT_00729,853875821,741139947,FACTURACION CICLICA,AMDOCS,2026-06-27,2026-07-13,PEN,32.15,5.79,37.94,False,37.94,1,False,0.0,37.94,0.0,True,CONCILIADA_EXACTA,True
S8AA-0007899035,2029816520,CLIENT_00874,244414621,676462647,FACTURACION CICLICA,AMDOCS,2026-06-27,2026-07-13,PEN,31.38,5.65,37.03,False,37.03,1,False,0.0,37.03,0.0,True,CONCILIADA_EXACTA,True
S8AA-0008040899,2005357307,CLIENT_00223,619846321,878242147,FACTURACION CICLICA,AMDOCS,2026-06-27,2026-07-13,PEN,59.86,10.77,70.63,False,70.63,1,False,0.0,70.63,0.0,True,CONCILIADA_EXACTA,True
S8AA-0007882067,2082900579,CLIENT_00127,630652821,744448857,FACTURACION CICLICA,AMDOCS,2026-06-27,2026-07-13,PEN,136.38,24.55,160.93,False,160.93,1,False,0.0,160.93,0.0,True,CONCILIADA_EXACTA,True
S8AA-0008002817,2043931649,CLIENT_00311,176219431,361057957,FACTURACION CICLICA,AMDOCS,2026-06-27,2026-07-13,PEN,42.9,7.71,50.61,False,50.61,1,False,0.0,50.61,0.0,True,CONCILIADA_EXACTA,True
S8AA-0007999449,2050012017,CLIENT_00285,200191431,608796857,FACTURACION CICLICA,AMDOCS,2026-06-27,2026-07-13,PEN,118.46,21.33,139.79,False,139.79,1,False,0.0,139.79,0.0,True,CONCILIADA_EXACTA,True
S8AA-0007944445,2046639773,CLIENT_00422,659895821,33750167,FACTURACION CICLICA,AMDOCS,2026-06-27,2026-07-13,PEN,55.99,10.09,66.08,False,66.08,1,False,0.0,66.08,0.0,True,CONCILIADA_EXACTA,True
